?q=Headwords|headword|noun|D|a word that forms a heading in a dictionary, under which its meaning is explained|/ˈhedwɜːd/|/ˈhedwɜːrd/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/headw/headword__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/h/hea/headw/headword__us_1.mp3|Unnamed: 9|https://www.oxfordlearnersdictionaries.com/search/english/?q=Headwords|Translated Examples|một từ tạo thành tiêu đề trong từ điển, trong đó giải thích nghĩa của nó
?q=abandon|abandon|verb|B2|to leave somebody, especially somebody you are responsible for, with no intention of returning|/əˈbændən/|/əˈbændən/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aba/aband/abandon__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aba/aband/abandon__us_2.mp3|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">abandon somebody</span> <span class="x">The baby had been abandoned by its mother.</span></li>;<li class="" htag="li"><span class="x">People often simply abandon their pets when they go abroad.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">abandon somebody to something</span> <span class="x">‘We have been <span class="cl">abandoned to our fate</span>,’ said one resident.</span></li>;<li class="" htag="li"><span class="x">The study showed a deep fear among the elderly of being abandoned to the care of strangers.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=abandon|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">abandon somebody</span> <span class="x">Đứa bé đã bị mẹ bỏ rơi.</span></li>;<li class="" htag="li"><span class="x">Mọi người thường bỏ rơi thú cưng của mình khi đi nước ngoài.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">abandon somebody to something</span> <span class="x">‘Chúng ta đã bị <span class="cl">bỏ mặc cho số phận</span>,’ said one resident.</span></li>;<li class="" htag="li"><span class="x">Nghiên cứu cho thấy người cao tuổi có nỗi sợ hãi sâu sắc khi bị bỏ rơi cho người lạ chăm sóc.</span></li>|rời bỏ ai đó, đặc biệt là người mà bạn chịu trách nhiệm, mà không có ý định quay lại
?q=abstract|abstract|adjective|B2+|based on general ideas and not on any particular real person, thing or situation|/ˈæbstrækt/|/ˈæbstrækt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/abstr/abstract__gb_5.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/abstr/abstract__us_2_rr.mp3|<li class="" htag="li"><span class="x"><span class="cl">abstract knowledge/principles</span></span></li>;<li class="" htag="li"><span class="x">The research shows that pre-school children are capable of thinking in abstract terms.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=abstract|<li class="" htag="li"><span class="x"><span class="cl">kiến thức/nguyên lý trừu tượng</span></span></li>;<li class="" htag="li"><span class="x">Nghiên cứu cho thấy trẻ em mầm non có khả năng suy nghĩ theo hướng trừu tượng.</span></li>|dựa trên những ý tưởng chung chứ không dựa trên bất kỳ người, vật hay tình huống thực tế cụ thể nào
?q=academy|academy|noun|C1|a school or college for special training|/əˈkædəmi/|/əˈkædəmi/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academy__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academy__us_1.mp3|<li class="" htag="li"><span class="x">She trained at the Royal Academy of Music.</span></li>;<li class="" htag="li"><span class="x">a <span class="cl">police/military academy</span></span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=academy|<li class="" htag="li"><span class="x">Bà được đào tạo tại Học viện Âm nhạc Hoàng gia.</span></li>;<li class="" htag="li"><span class="x">một <span class="cl">học viện cảnh sát/quân đội</span></span></li>|một trường học hoặc cao đẳng đào tạo đặc biệt
?q=access|access|noun|B1|the opportunity or right to use something or to see somebody/something|/ˈækses/|/ˈækses/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/access__gb_4.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/acces/access__us_2.mp3|<li class="" htag="li"><span class="x">High-speed <span class="cl">internet access</span> has become a necessity.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">access to something/somebody</span> <span class="x">You need a password to <span class="cl">get access</span> to the computer system.</span></li>;<li class="" htag="li"><span class="x"><span class="cl">access to information/services/resources</span></span></li>;<li class="" htag="li"><span class="x"><span class="cl">access to healthcare/education</span></span></li>;<li class="" htag="li"><span class="x">They are seeking increased <span class="cl">access to markets</span> overseas.</span></li>;<li class="" htag="li"><span class="x">to <span class="cl">provide/allow access</span> to something/somebody</span></li>;<li class="" htag="li"><span class="x">to <span class="cl">restrict/block access</span> to something/somebody</span></li>;<li class="" htag="li"><span class="x">Journalists were denied access to the President.</span></li>;<li class="" htag="li"><span class="x">Many divorced fathers only <span class="cl">have access</span> to their children at weekends <span class="gloss" hclass="gloss" htag="span">(= they are allowed by law to see them only at weekends)</span>.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=access|<li class="" htag="li"><span class="x">Truy cập internet tốc độ cao <span class="cl"></span> has become a necessity.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">access to something/somebody</span> <span class="x">Bạn cần mật khẩu để <span class="cl">truy cập</span> to the computer system.</span></li>;<li class="" htag="li"><span class="x"><span class="cl">truy cập thông tin/dịch vụ/tài nguyên</span></span></li>;<li class="" htag="li"><span class="x"><span class="cl">tiếp cận dịch vụ chăm sóc sức khỏe/giáo dục</span></span></li>;<li class="" htag="li"><span class="x">Họ đang tìm cách tăng cường <span class="cl">tiếp cận thị trường</span> overseas.</span></li>;<li class="" htag="li"><span class="x">để <span class="cl">cung cấp/cho phép truy cập</span> to something/somebody</span></li>;<li class="" htag="li"><span class="x">để <span class="cl">hạn chế/chặn quyền truy cập</span> to something/somebody</span></li>;<li class="" htag="li"><span class="x">Các nhà báo bị từ chối tiếp cận Tổng thống.</span></li>;<li class="" htag="li"><span class="x">Nhiều ông bố đã ly hôn chỉ có thể tiếp cận</span> với con cái của họ vào cuối tuần <span class="gloss" hclass="gloss" htag="span">(= theo luật, họ chỉ được phép gặp con vào cuối tuần)</span>.</span></li>|cơ hội hoặc quyền sử dụng cái gì đó hoặc nhìn thấy ai đó/cái gì đó
?q=accommodate|accommodate|verb|B2+|to provide somebody with a room or place to sleep, live or sit|/əˈkɒmədeɪt/|/əˈkɑːmədeɪt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accommodate__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accommodate__us_1.mp3|<li class="" htag="li"><span class="x">The hotel can accommodate up to 500 guests.</span></li>;<li class="" htag="li"><span class="x">The aircraft is capable of accommodating 28 passengers.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=accommodate|<li class="" htag="li"><span class="x">Khách sạn có thể chứa tới 500 khách.</span></li>;<li class="" htag="li"><span class="x">Máy bay có khả năng chở 28 hành khách.</span></li>|cung cấp cho ai đó một căn phòng hoặc nơi để ngủ, sống hoặc ngồi
?q=accompany|accompany|verb|B2|to travel or go somewhere with somebody/something|/əˈkʌmpəni/|/əˈkʌmpəni/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accompany__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accompany__us_2.mp3|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accompany somebody/something + adv./prep.</span> <span class="x">His wife accompanied him on the trip.</span></li>;<li class="" htag="li"><span class="x">He was accompanied on the visit by his wife.</span></li>;<li class="" htag="li"><span class="x">I must ask you to accompany me to the police station.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accompany somebody/something</span> <span class="x">Warships will accompany the convoy.</span></li>;<li class="" htag="li"><span class="x">The groups are always accompanied by an experienced mountain guide.</span></li>;<li class="" htag="li"><span class="x"> Each young person must be accompanied by an adult.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=accompany|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accompany somebody/something + adv./prep.</span> <span class="x">Vợ ông đi cùng ông trong chuyến đi.</span></li>;<li class="" htag="li"><span class="x">Ông đi cùng vợ trong chuyến thăm này.</span></li>;<li class="" htag="li"><span class="x">Tôi phải yêu cầu anh đi cùng tôi đến đồn cảnh sát.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accompany somebody/something</span> <span class="x">Tàu chiến sẽ đi cùng đoàn xe.</span></li>;<li class="" htag="li"><span class="x">Các nhóm luôn có hướng dẫn viên leo núi giàu kinh nghiệm đi kèm.</span></li>;<li class="" htag="li"><span class="x">Mỗi thanh thiếu niên phải có người lớn đi kèm.</span></li>|đi du lịch hoặc đi đâu đó với ai đó/cái gì đó
?q=accumulate|accumulate|verb|C1|to gradually get more and more of something over a period of time|/əˈkjuːmjəleɪt/|/əˈkjuːmjəleɪt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulate__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accum/accumulate__us_1.mp3|<li class="" htag="li"><span class="x">I seem to have accumulated a lot of books.</span></li>;<li class="" htag="li"><span class="x">By investing wisely she accumulated a fortune.</span></li>;<li class="" htag="li"><span class="x">We have accumulated a great amount of evidence.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=accumulate|<li class="" htag="li"><span class="x">Có vẻ như tôi đã tích lũy được rất nhiều sách.</span></li>;<li class="" htag="li"><span class="x">Nhờ đầu tư khôn ngoan, bà đã tích lũy được một gia tài.</span></li>;<li class="" htag="li"><span class="x">Chúng tôi đã thu thập được một lượng lớn bằng chứng.</span></li>|dần dần có được ngày càng nhiều thứ gì đó trong một khoảng thời gian
?q=accurate|accurate|adjective|B2|correct and true in every detail|/ˈækjərət/|/ˈækjərət/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accurate__gb_3.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accurate__us_1.mp3|<li class="" htag="li"><span class="x">an <span class="cl">accurate description/picture</span> of something</span></li>;<li class="" htag="li"><span class="x">Accurate measurements are essential.</span></li>;<li class="" htag="li"><span class="x">I'm not convinced the reports are accurate.</span></li>;<li class="" htag="li"><span class="x">The film is not <span class="cl">historically accurate</span>.</span></li>;<li class="" htag="li"><span class="x">an accurate prediction/estimate/assessment</span></li>;<li class="" htag="li"><span class="x">an accurate representation/portrayal</span></li>;<li class="" htag="li"><span class="x">scientifically accurate information/data</span></li>;<li class="" htag="li"><span class="x">reasonably/entirely/fairly accurate</span></li>;<li class="" htag="li"><span class="x">The cost is an accurate reflection of the quality of our products.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=accurate|<li class="" htag="li"><span class="x">một <span class="cl">mô tả/hình ảnh chính xác</span> of something</span></li>;<li class="" htag="li"><span class="x">Đo lường chính xác là điều cần thiết.</span></li>;<li class="" htag="li"><span class="x">Tôi không tin những báo cáo này là chính xác.</span></li>;<li class="" htag="li"><span class="x">Bộ phim không <span class="cl">chính xác về mặt lịch sử</span>.</span></li>;<li class="" htag="li"><span class="x">một dự đoán/ước tính/đánh giá chính xác</span></li>;<li class="" htag="li"><span class="x">một sự mô tả/biểu diễn chính xác</span></li>;<li class="" htag="li"><span class="x">thông tin/dữ liệu khoa học chính xác</span></li>;<li class="" htag="li"><span class="x">khá chính xác/hoàn toàn/khá chính xác</span></li>;<li class="" htag="li"><span class="x">Chi phí phản ánh chính xác chất lượng sản phẩm của chúng tôi.</span></li>|đúng và đúng trong từng chi tiết
?q=achieve|achieve|verb|A2|to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time|/əˈtʃiːv/|/əˈtʃiːv/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achieve__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ach/achie/achieve__us_2.mp3|<li class="" htag="li"><span class="x">He had finally <span class="cl">achieved success</span>.</span></li>;<li class="" htag="li"><span class="x">They have both <span class="cl">achieved </span>great <span class="cl">results</span>. </span></li>;<li class="" htag="li"><span class="x">She has worked hard to <span class="cl">achieve her goal</span>.</span></li>;<li class="" htag="li"><span class="x">to <span class="cl">achieve an objective/aim</span></span></li>;<li class="" htag="li"><span class="x">They could not achieve their target of less than 3% inflation.</span></li>;<li class="" htag="li"><span class="x">The firm has achieved the status of undisputed market leader.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">achieve something through (doing) something</span> <span class="x">Course objectives were achieved through a range of activities. </span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=achieve|<li class="" htag="li"><span class="x">Cuối cùng anh ấy đã <span class="cl">đạt được thành công</span>.</span></li>;<li class="" htag="li"><span class="x">Cả hai đều đã <span class="cl">đạt được</span>great <span class="cl">results</span>. </span></li>;<li class="" htag="li"><span class="x">Cô ấy đã làm việc chăm chỉ để <span class="cl">đạt được mục tiêu của mình</span>.</span></li>;<li class="" htag="li"><span class="x">để <span class="cl">đạt được mục tiêu/mục đích</span></span></li>;<li class="" htag="li"><span class="x">Họ không thể đạt được mục tiêu lạm phát dưới 3%.</span></li>;<li class="" htag="li"><span class="x">Công ty đã đạt được vị thế là công ty dẫn đầu thị trường không thể tranh cãi.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">achieve something through (doing) something</span> <span class="x">Mục tiêu của khóa học đã đạt được thông qua nhiều hoạt động khác nhau.</span></li>|thành công trong việc đạt được một mục tiêu, trạng thái hoặc tiêu chuẩn cụ thể, đặc biệt là bằng cách nỗ lực trong một thời gian dài
