abolish|abolish.1|verb|C1|to officially end a law, a system or an institution|/əˈbɒlɪʃ/|/əˈbɑːlɪʃ/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/aboli/abolish__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/aboli/abolish__us_1.mp3|<li class="" htag="li"><span class="x">This tax should be abolished.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/abolish|<li class="" htag="li"><span class="x">Loại thuế này nên được bãi bỏ.</span></li>|chính thức chấm dứt một luật, một hệ thống hoặc một thể chế
abortion|abortion|noun|C1|the deliberate ending of a pregnancy at an early stage|/əˈbɔːʃn/|/əˈbɔːrʃn/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/abort/abortion__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/abort/abortion__us_1.mp3|<li class="" htag="li"><span class="x">to <span class="cl">support/oppose abortion</span></span></li>;<li class="" htag="li"><span class="x">a woman’s right to abortion</span></li>;<li class="" htag="li"><span class="x">the country's strict abortion laws</span></li>;<li class="" htag="li"><span class="x">I've always been anti-abortion.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/abortion|<li class="" htag="li"><span class="x">để <span class="cl">ủng hộ/phản đối phá thai</span></span></li>;<li class="" htag="li"><span class="x">quyền phá thai của phụ nữ</span></li>;<li class="" htag="li"><span class="x">luật phá thai nghiêm ngặt của đất nước</span></li>;<li class="" htag="li"><span class="x">Tôi luôn phản đối việc phá thai.</span></li>|việc cố ý kết thúc thai kỳ ở giai đoạn đầu
absence|absence|noun|C1|the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away|/ˈæbsəns/|/ˈæbsəns/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absen/absence__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absen/absence__us_1.mp3|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">in somebody's absence</span> <span class="x">The decision was made in my absence <span class="gloss" hclass="gloss" htag="span">(= while I was not there)</span>.</span></li>;<li class="" htag="li"><span class="x">We did not receive any news during his long absence.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">absence from…</span> <span class="x">absence from work</span></li>;<li class="" htag="li"><span class="x">repeated absences from school</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/absence|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">in somebody's absence</span> <span class="x">Quyết định được đưa ra khi tôi vắng mặt <span class="gloss" hclass="gloss" htag="span">(= khi tôi không có mặt ở đó)</span>.</span></li>;<li class="" htag="li"><span class="x">Chúng tôi không nhận được bất kỳ tin tức nào trong suốt thời gian anh ấy vắng mặt.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">absence from…</span> <span class="x">vắng mặt trong công việc</span></li>;<li class="" htag="li"><span class="x">nghỉ học nhiều lần</span></li>|việc ai đó đi xa khỏi nơi mà họ thường được mong đợi sẽ đến; dịp hoặc khoảng thời gian khi ai đó đi xa
absent_1|absent|adjective|C1|not in a place because of illness, etc.|/ˈæbsənt/|/ˈæbsənt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absen/absent__gb_4.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absen/absent__us_1.mp3|<li class="" htag="li"><span class="x">He was absent from work for two weeks.</span></li>;<li class="" htag="li"><span class="x">Local people were conspicuously absent from the meeting.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/absent_1|<li class="" htag="li"><span class="x">Anh ấy đã nghỉ làm trong hai tuần.</span></li>;<li class="" htag="li"><span class="x">Người dân địa phương rõ ràng đã vắng mặt trong cuộc họp.</span></li>|không có mặt ở một nơi nào đó vì bệnh tật, v.v.
absorb|absorb|verb|B2+|to take in a liquid, gas or other substance from the surface or space around|/əbˈzɔːb/|/əbˈzɔːrb/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absor/absorb__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absor/absorb__us_2_rr.mp3|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">absorb something</span> <span class="x">Plants absorb carbon dioxide from the air.</span></li>;<li class="" htag="li"><span class="x">Let the rice cook until it has absorbed all the water.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">absorb something into something</span> <span class="x">The cream is easily absorbed into the skin.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/absorb|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">absorb something</span> <span class="x">Cây hấp thụ carbon dioxide từ không khí.</span></li>;<li class="" htag="li"><span class="x">Nấu cơm cho đến khi cơm hấp thụ hết nước.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">absorb something into something</span> <span class="x">Kem dễ dàng thẩm thấu vào da.</span></li>|để lấy chất lỏng, khí hoặc chất khác từ bề mặt hoặc không gian xung quanh
abstract_1|abstract|adjective|B2+|based on general ideas and not on any particular real person, thing or situation|/ˈæbstrækt/|/ˈæbstrækt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/abstr/abstract__gb_5.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/abstr/abstract__us_2_rr.mp3|<li class="" htag="li"><span class="x"><span class="cl">abstract knowledge/principles</span></span></li>;<li class="" htag="li"><span class="x">The research shows that pre-school children are capable of thinking in abstract terms.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1|<li class="" htag="li"><span class="x"><span class="cl">kiến thức/nguyên lý trừu tượng</span></span></li>;<li class="" htag="li"><span class="x">Nghiên cứu cho thấy trẻ em mầm non có khả năng suy nghĩ theo hướng trừu tượng.</span></li>|dựa trên những ý tưởng chung chứ không dựa trên bất kỳ người, vật hay tình huống thực tế cụ thể nào
absurd|absurd|adjective|C1|extremely silly; not logical and sensible|/əbˈsɜːd/|/əbˈsɜːrd/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absur/absurd__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absur/absurd__us_1_rr.mp3|<li class="" htag="li"><span class="x">That uniform makes the guards look absurd.</span></li>;<li class="" htag="li"><span class="x">Of course it's not true, what an absurd idea.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/absurd|<li class="" htag="li"><span class="x">Bộ đồng phục đó khiến những người lính canh trông thật lố bịch.</span></li>;<li class="" htag="li"><span class="x">Tất nhiên là không đúng rồi, thật là một ý tưởng vô lý.</span></li>|cực kỳ ngớ ngẩn; không logic và không hợp lý
abundance|abundance|noun|C1|a large quantity that is more than enough|/əˈbʌndəns/|/əˈbʌndəns/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abund/abundance__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abund/abundance__us_1.mp3|<li class="" htag="li"><span class="x">The brochure promised beautiful walks with an abundance of wildlife.</span></li>;<li class="" htag="li"><span class="x">The country has an abundance of natural resources.</span></li>;<li class="" htag="li"><span class="x">We were amazed by the sheer abundance of food.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/abundance|<li class="" htag="li"><span class="x">Tờ rơi hứa hẹn những chuyến đi bộ tuyệt đẹp với nhiều động vật hoang dã.</span></li>;<li class="" htag="li"><span class="x">Đất nước này có nguồn tài nguyên thiên nhiên dồi dào.</span></li>;<li class="" htag="li"><span class="x">Chúng tôi vô cùng ngạc nhiên trước sự phong phú của thức ăn.</span></li>|một số lượng lớn là quá đủ
abuse_1|abuse|noun|C1|the use of something in a way that is wrong or harmful|/əˈbjuːs/|/əˈbjuːs/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abuse/abuse__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abuse/abuse__us_3.mp3|<li class="" htag="li"><span class="x"><span class="cl">alcohol/drug abuse</span></span></li>;<li class="" htag="li"><span class="x">The system of paying cash bonuses is <span class="cl">open to abuse</span> <span class="gloss" hclass="gloss" htag="span">(= might be used in the wrong way)</span>.</span></li>;<li class="" htag="li"><span class="x">The legal system is open to abuse.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">abuse of something</span> <span class="x">He was arrested on charges of corruption and <span class="cl">abuse of power</span>.</span></li>;<li class="" htag="li"><span class="x">What she did was an abuse of her position as manager.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1|<li class="" htag="li"><span class="x"><span class="cl">lạm dụng rượu/ma túy</span></span></li>;<li class="" htag="li"><span class="x">Hệ thống trả tiền thưởng bằng tiền mặt có thể bị lạm dụng</span> <span class="gloss" hclass="gloss" htag="span">(= might be used in the wrong way)</span>.</span></li>;<li class="" htag="li"><span class="x">Hệ thống pháp luật dễ bị lạm dụng.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">abuse of something</span> <span class="x">Ông đã bị bắt vì tội tham nhũng và <span class="cl">lạm dụng quyền lực</span>.</span></li>;<li class="" htag="li"><span class="x">Việc cô ấy làm là lạm dụng chức vụ quản lý của mình.</span></li>|việc sử dụng cái gì đó theo cách sai trái hoặc có hại
abuse_2|abuse|verb|C1|to make bad use of something, or to use so much of something that it harms your health|/əˈbjuːz/|/əˈbjuːz/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abuse/abuse__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abuse/abuse__us_1.mp3|<li class="" htag="li"><span class="x">to <span class="cl">abuse alcohol/drugs</span></span></li>;<li class="" htag="li"><span class="x">He systematically abused his body with heroin and cocaine.</span></li>;<li class="" htag="li"><span class="x">People who abuse alcohol over a long period will develop health problems.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2|<li class="" htag="li"><span class="x">để <span class="cl">lạm dụng rượu/ma túy</span></span></li>;<li class="" htag="li"><span class="x">Ông ta thường xuyên lạm dụng cơ thể mình bằng heroin và cocaine.</span></li>;<li class="" htag="li"><span class="x">Những người lạm dụng rượu trong thời gian dài sẽ gặp phải các vấn đề về sức khỏe.</span></li>|sử dụng sai mục đích một cái gì đó, hoặc sử dụng quá nhiều một cái gì đó đến mức gây hại cho sức khỏe của bạn
